Date,Singapore,United Kingdom,United States
2020/4/1,39.88,60.71,63.1
2020/4/2,42.26,60.71,63.1
2020/4/3,50,60.71,63.1
2020/4/4,50,60.71,64.88
2020/4/5,50,60.71,64.88
2020/4/6,50,60.71,66.67
2020/4/7,57.14,60.71,66.67
2020/4/8,70.24,60.71,66.67
2020/4/9,70.24,60.71,66.67
2020/4/10,70.24,60.71,66.67
2020/4/11,70.24,60.71,66.67
2020/4/12,70.24,60.71,66.67
2020/4/13,70.24,60.71,66.67
2020/4/14,75.6,60.71,66.67
2020/4/15,75.6,60.71,66.67
2020/4/16,75.6,60.71,66.67
2020/4/17,75.6,60.71,66.67
2020/4/18,75.6,60.71,66.67
2020/4/19,75.6,60.71,66.67
2020/4/20,75.6,60.71,66.67
2020/4/21,75.6,60.71,66.67
2020/4/22,75.6,60.71,66.67
2020/4/23,75.6,60.71,66.67
2020/4/24,75.6,60.71,66.67
2020/4/25,75.6,60.71,66.67
2020/4/26,75.6,60.71,66.67
2020/4/27,75.6,60.71,66.67
2020/4/28,75.6,61.61,66.67
2020/4/29,75.6,61.61,66.67
2020/4/30,75.6,61.61,66.67
2020/5/1,75.6,61.61,66.67
2020/5/2,75.6,61.61,66.67
2020/5/3,75.6,61.61,66.67
2020/5/4,75.6,61.61,66.67
2020/5/5,75.6,61.61,66.67
2020/5/6,75.6,61.61,66.67
2020/5/7,75.6,61.61,66.67
2020/5/8,75.6,61.61,66.67
2020/5/9,75.6,61.61,66.67
2020/5/10,75.6,61.61,66.67
2020/5/11,75.6,60.42,66.67
2020/5/12,73.21,60.42,66.67
2020/5/13,73.21,56.25,66.67
2020/5/14,73.21,56.25,66.67
2020/5/15,73.21,56.25,66.67
2020/5/16,73.21,56.25,66.67
2020/5/17,73.21,56.25,66.67
2020/5/18,73.21,58.63,66.67
2020/5/19,73.21,58.63,66.67
2020/5/20,73.21,58.63,66.67
2020/5/21,73.21,58.63,66.67
2020/5/22,73.21,58.63,66.67
2020/5/23,73.21,58.63,66.67
2020/5/24,73.21,58.63,66.67
2020/5/25,73.21,58.63,66.67
2020/5/26,73.21,58.63,66.67
2020/5/27,73.21,62.2,66.67
2020/5/28,73.21,62.2,66.67
2020/5/29,73.21,61.01,66.67
2020/5/30,73.21,61.01,66.67
2020/5/31,73.21,61.01,66.67
2020/6/1,73.21,63.39,66.67
2020/6/2,68.45,63.39,66.67
2020/6/3,68.45,63.39,66.67
2020/6/4,68.45,63.39,66.67
2020/6/5,68.45,63.39,66.67
2020/6/6,68.45,63.39,66.67
2020/6/7,68.45,63.39,66.67
2020/6/8,68.45,66.96,66.67
2020/6/9,68.45,66.96,66.67
2020/6/10,68.45,66.96,66.67
2020/6/11,68.45,66.96,66.67
2020/6/12,68.45,66.96,66.67
2020/6/13,68.45,66.96,66.67
2020/6/14,68.45,66.96,66.67
2020/6/15,68.45,65.77,64.29
2020/6/16,68.45,65.77,64.29
2020/6/17,68.45,65.77,64.29
2020/6/18,68.45,65.77,64.29
2020/6/19,56.55,65.77,64.29
