Date,Singapore,United Kingdom,United States
2020/1/1,0,0,0
2020/1/2,0,0,0
2020/1/3,0,0,0
2020/1/4,0,0,0
2020/1/5,0,0,0
2020/1/6,0,0,0
2020/1/7,0,0,0
2020/1/8,0,0,0
2020/1/9,0,0,0
2020/1/10,0,0,0
2020/1/11,0,0,0
2020/1/12,0,0,0
2020/1/13,0,0,0
2020/1/14,0,0,0
2020/1/15,0,0,0
2020/1/16,0,0,0
2020/1/17,0,0,0
2020/1/18,0,0,0
2020/1/19,0,0,0
2020/1/20,0,0,0
2020/1/21,0,0,0
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,0,0,0
2020/1/30,0,0,0
2020/1/31,0,0,0
2020/2/1,0,0,0
2020/2/2,0,0,0
2020/2/3,0,0,0
2020/2/4,0,0,0
2020/2/5,0,0,0
2020/2/6,0,0,0
2020/2/7,0,0,0
2020/2/8,0,0,0
2020/2/9,0,0,0
2020/2/10,0,0,0
2020/2/11,0,0,0
2020/2/12,0,0,0
2020/2/13,0,0,0
2020/2/14,0,0,0
2020/2/15,0,0,0
2020/2/16,0,0,0
2020/2/17,0,0,0
2020/2/18,0,0,0
2020/2/19,0,0,0
2020/2/20,0,0,0
2020/2/21,0,0,0
2020/2/22,0,0,0
2020/2/23,0,0,0
2020/2/24,0,0,0
2020/2/25,0,0,0
2020/2/26,0,0,0
2020/2/27,0,0,0
2020/2/28,0,0,0
2020/2/29,0,0,0
2020/3/1,0,0,0
2020/3/2,0,0,0
2020/3/3,0,0,0
2020/3/4,0,0,0
2020/3/5,0,0,0
2020/3/6,0,0,0
2020/3/7,0,0,0
2020/3/8,0,0,0
2020/3/9,0,0,0
2020/3/10,0,0,0
2020/3/11,0,0,0
2020/3/12,0,0,0
2020/3/13,0,0,0
2020/3/14,0,0,0
2020/3/15,0,0,0
2020/3/16,0,0,0
2020/3/17,0,25,0
2020/3/18,0,25,0
2020/3/19,0,50,0
2020/3/20,0,87.5,0
2020/3/21,0,87.5,0
2020/3/22,0,87.5,0
2020/3/23,0,87.5,0
2020/3/24,0,87.5,0
2020/3/25,0,87.5,0
2020/3/26,0,100,0
2020/3/27,0,100,62.5
2020/3/28,0,100,62.5
2020/3/29,0,100,62.5
2020/3/30,0,100,62.5
2020/3/31,0,100,62.5
2020/4/1,25,100,62.5
2020/4/2,25,100,62.5
2020/4/3,25,100,62.5
2020/4/4,25,100,62.5
2020/4/5,25,100,62.5
2020/4/6,25,100,62.5
2020/4/7,25,100,62.5
2020/4/8,25,100,62.5
2020/4/9,25,100,62.5
2020/4/10,25,100,62.5
2020/4/11,25,100,62.5
2020/4/12,25,100,62.5
2020/4/13,25,100,62.5
2020/4/14,25,100,62.5
2020/4/15,25,100,62.5
2020/4/16,25,100,62.5
2020/4/17,25,100,62.5
2020/4/18,25,100,62.5
2020/4/19,25,100,62.5
2020/4/20,75,100,62.5
2020/4/21,75,100,62.5
2020/4/22,75,100,62.5
2020/4/23,75,100,62.5
2020/4/24,75,100,62.5
2020/4/25,75,100,62.5
2020/4/26,75,100,62.5
2020/4/27,75,100,62.5
2020/4/28,75,100,62.5
2020/4/29,75,100,62.5
2020/4/30,75,100,62.5
2020/5/1,75,100,62.5
2020/5/2,75,100,62.5
2020/5/3,75,100,62.5
2020/5/4,75,100,62.5
2020/5/5,75,100,62.5
2020/5/6,75,100,62.5
2020/5/7,75,100,62.5
2020/5/8,75,100,62.5
2020/5/9,75,100,62.5
2020/5/10,75,100,62.5
2020/5/11,75,100,62.5
2020/5/12,75,100,62.5
2020/5/13,75,100,62.5
2020/5/14,75,100,62.5
2020/5/15,75,100,62.5
2020/5/16,75,100,62.5
2020/5/17,75,100,62.5
2020/5/18,75,100,62.5
2020/5/19,75,100,62.5
2020/5/20,75,100,62.5
2020/5/21,75,100,62.5
2020/5/22,75,100,62.5
2020/5/23,75,100,62.5
2020/5/24,75,100,62.5
2020/5/25,75,100,62.5
2020/5/26,100,100,62.5
2020/5/27,100,100,62.5
2020/5/28,100,100,62.5
2020/5/29,100,100,62.5
2020/5/30,100,100,62.5
2020/5/31,100,100,62.5
2020/6/1,100,100,62.5
2020/6/2,100,100,62.5
2020/6/3,100,100,62.5
2020/6/4,100,100,62.5
2020/6/5,100,100,62.5
2020/6/6,100,100,62.5
2020/6/7,100,100,62.5
2020/6/8,100,100,62.5
2020/6/9,100,100,62.5
2020/6/10,100,100,62.5
2020/6/11,100,100,62.5
2020/6/12,100,100,62.5
2020/6/13,100,100,62.5
2020/6/14,100,100,62.5
2020/6/15,100,100,62.5
2020/6/16,100,100,62.5
2020/6/17,100,100,62.5
2020/6/18,100,100,62.5
2020/6/19,100,100,62.5
2020/6/20,100,100,62.5
2020/6/21,100,100,62.5
2020/6/22,100,100,62.5
2020/6/23,100,100,62.5
2020/6/24,100,100,62.5
2020/6/25,100,100,62.5
2020/6/26,100,100,62.5
2020/6/27,100,100,62.5
2020/6/28,100,100,62.5
2020/6/29,100,100,62.5
2020/6/30,100,100,62.5
2020/7/1,100,100,62.5
2020/7/2,100,100,62.5
2020/7/3,100,100,62.5
2020/7/4,100,100,62.5
2020/7/5,100,100,62.5
2020/7/6,100,100,62.5
2020/7/7,100,100,62.5
2020/7/8,100,100,62.5
2020/7/9,100,100,62.5
2020/7/10,100,100,62.5
2020/7/11,100,100,62.5
2020/7/12,100,100,62.5
2020/7/13,100,100,62.5
2020/7/14,100,100,62.5
2020/7/15,100,100,62.5
2020/7/16,100,100,62.5
2020/7/17,100,100,62.5
2020/7/18,100,100,62.5
2020/7/19,100,100,62.5
2020/7/20,100,100,62.5
2020/7/21,100,100,62.5
2020/7/22,100,100,62.5
2020/7/23,100,100,62.5
2020/7/24,100,100,62.5
2020/7/25,100,100,62.5
2020/7/26,100,100,62.5
2020/7/27,100,100,62.5
2020/7/28,100,100,62.5
2020/7/29,100,100,62.5
2020/7/30,100,100,62.5
2020/7/31,100,100,62.5
2020/8/1,100,100,62.5
2020/8/2,100,100,62.5
2020/8/3,100,100,62.5
2020/8/4,100,100,62.5
2020/8/5,100,100,62.5
2020/8/6,100,100,62.5
2020/8/7,100,100,62.5
2020/8/8,100,100,62.5
2020/8/9,100,100,62.5
2020/8/10,100,100,62.5
2020/8/11,100,100,62.5
2020/8/12,100,100,62.5
2020/8/13,100,100,62.5
2020/8/14,100,100,62.5
2020/8/15,100,100,62.5
2020/8/16,100,100,62.5
2020/8/17,100,100,62.5
2020/8/18,100,100,62.5
2020/8/19,100,100,62.5
2020/8/20,100,100,62.5
2020/8/21,100,100,62.5
2020/8/22,100,100,62.5
2020/8/23,100,100,62.5
2020/8/24,100,100,62.5
2020/8/25,100,100,62.5
2020/8/26,100,100,62.5
2020/8/27,100,100,62.5
2020/8/28,100,100,62.5
2020/8/29,100,100,62.5
2020/8/30,100,100,62.5
2020/8/31,100,100,62.5
2020/9/1,100,100,62.5
2020/9/2,100,100,62.5
2020/9/3,100,100,62.5
2020/9/4,100,100,62.5
2020/9/5,100,100,62.5
2020/9/6,100,100,62.5
2020/9/7,100,100,62.5
2020/9/8,100,100,62.5
2020/9/9,100,100,62.5
2020/9/10,100,100,62.5
2020/9/11,100,100,62.5
2020/9/12,100,100,62.5
2020/9/13,100,100,62.5
2020/9/14,100,100,62.5
2020/9/15,100,100,62.5
2020/9/16,100,100,62.5
2020/9/17,100,100,62.5
2020/9/18,100,100,62.5
2020/9/19,100,100,62.5
2020/9/20,100,100,62.5
2020/9/21,100,100,62.5
2020/9/22,100,100,62.5
2020/9/23,100,100,62.5
2020/9/24,100,100,62.5
2020/9/25,100,100,62.5
2020/9/26,100,100,62.5
2020/9/27,100,100,62.5
2020/9/28,100,100,62.5
2020/9/29,100,100,62.5
2020/9/30,100,100,62.5
2020/10/1,100,100,62.5
2020/10/2,100,100,62.5
2020/10/3,100,100,62.5
2020/10/4,100,100,62.5
2020/10/5,100,100,62.5
2020/10/6,100,100,62.5
2020/10/7,100,100,62.5
2020/10/8,100,100,62.5
2020/10/9,100,100,62.5
2020/10/10,100,100,62.5
2020/10/11,100,100,62.5
2020/10/12,100,100,62.5
2020/10/13,100,100,62.5
2020/10/14,100,100,62.5
2020/10/15,100,100,62.5
2020/10/16,100,100,62.5
2020/10/17,100,100,62.5
2020/10/18,100,100,62.5
2020/10/19,100,100,62.5
2020/10/20,100,100,62.5
2020/10/21,100,100,62.5
2020/10/22,100,100,62.5
2020/10/23,100,100,62.5
2020/10/24,100,100,62.5
2020/10/25,100,100,62.5
2020/10/26,100,100,62.5
2020/10/27,100,100,62.5
2020/10/28,100,100,62.5
2020/10/29,100,100,62.5
2020/10/30,100,100,62.5
2020/10/31,100,100,62.5
2020/11/1,100,100,62.5
2020/11/2,100,100,62.5
2020/11/3,100,100,62.5
2020/11/4,100,100,62.5
2020/11/5,100,100,62.5
2020/11/6,100,100,62.5
2020/11/7,100,100,62.5
2020/11/8,100,100,62.5
2020/11/9,100,100,62.5
2020/11/10,100,100,62.5
2020/11/11,100,100,62.5
2020/11/12,100,100,62.5
2020/11/13,100,100,62.5
2020/11/14,100,100,62.5
2020/11/15,100,100,62.5
2020/11/16,100,100,62.5
2020/11/17,100,100,62.5
2020/11/18,100,100,62.5
2020/11/19,100,100,62.5
2020/11/20,100,100,62.5
2020/11/21,100,100,62.5
2020/11/22,100,100,62.5
2020/11/23,100,100,62.5
