Date,Singapore,United Kingdom,United States
2020/1/1,3.12,0,0
2020/1/2,13.02,0,0
2020/1/3,13.02,0,0
2020/1/4,13.02,0,0
2020/1/5,13.02,0,0
2020/1/6,13.02,0,0
2020/1/7,13.02,0,0
2020/1/8,13.02,0,0
2020/1/9,13.02,0,0
2020/1/10,13.02,0,0
2020/1/11,13.02,0,0
2020/1/12,13.02,0,0
2020/1/13,13.02,0,0
2020/1/14,13.02,0,0
2020/1/15,13.02,0,0
2020/1/16,13.02,0,0
2020/1/17,13.02,0,0
2020/1/18,13.02,0,0
2020/1/19,13.02,0,0
2020/1/20,19.27,5.21,0
2020/1/21,19.27,5.21,3.12
2020/1/22,19.27,5.21,3.12
2020/1/23,24.48,5.21,3.12
2020/1/24,24.48,5.21,3.12
2020/1/25,24.48,5.21,3.12
2020/1/26,24.48,5.21,3.12
2020/1/27,24.48,5.21,3.12
2020/1/28,24.48,5.21,3.12
2020/1/29,24.48,5.21,3.12
2020/1/30,24.48,5.21,3.12
2020/1/31,24.48,13.02,3.12
2020/2/1,24.48,13.02,3.12
2020/2/2,24.48,14.58,6.25
2020/2/3,24.48,14.58,6.25
2020/2/4,28.65,14.58,6.25
2020/2/5,28.65,14.58,6.25
2020/2/6,28.65,14.58,8.33
2020/2/7,31.77,14.58,8.33
2020/2/8,31.77,14.58,8.33
2020/2/9,31.77,14.58,8.33
2020/2/10,31.77,14.58,8.33
2020/2/11,31.77,14.58,8.33
2020/2/12,31.77,14.58,8.33
2020/2/13,31.77,14.58,8.33
2020/2/14,31.77,14.58,8.33
2020/2/15,31.77,14.58,8.33
2020/2/16,31.77,14.58,8.33
2020/2/17,31.77,14.58,8.33
2020/2/18,31.77,14.58,8.33
2020/2/19,31.77,14.58,8.33
2020/2/20,31.77,14.58,8.33
2020/2/21,31.77,14.58,8.33
2020/2/22,31.77,14.58,8.33
2020/2/23,31.77,14.58,8.33
2020/2/24,31.77,14.58,8.33
2020/2/25,31.77,14.58,8.33
2020/2/26,31.77,14.58,8.33
2020/2/27,31.77,14.58,8.33
2020/2/28,31.77,14.58,10.42
2020/2/29,31.77,14.58,10.42
2020/3/1,31.77,14.58,11.98
2020/3/2,31.77,14.58,13.54
2020/3/3,31.77,14.58,13.54
2020/3/4,31.77,14.58,15.62
2020/3/5,31.77,14.58,20.83
2020/3/6,31.77,14.58,20.83
2020/3/7,31.77,14.58,20.83
2020/3/8,31.77,14.58,20.83
2020/3/9,31.77,14.58,20.83
2020/3/10,31.77,14.58,21.61
2020/3/11,31.77,14.58,22.4
2020/3/12,31.77,8.33,27.08
2020/3/13,34.9,9.38,29.17
2020/3/14,34.9,9.38,34.38
2020/3/15,34.9,9.38,37.5
2020/3/16,34.9,11.46,43.75
2020/3/17,34.9,17.71,45.31
2020/3/18,34.9,22.92,45.31
2020/3/19,34.9,26.04,52.08
2020/3/20,34.9,33.85,52.08
2020/3/21,34.9,39.58,55.21
2020/3/22,34.9,47.92,55.21
2020/3/23,34.9,63.28,55.21
2020/3/24,34.9,64.06,55.21
2020/3/25,34.9,64.06,55.21
2020/3/26,34.9,65.62,55.21
2020/3/27,34.9,65.62,63.02
2020/3/28,34.9,65.62,63.02
2020/3/29,34.9,65.62,63.02
2020/3/30,34.9,65.62,63.02
2020/3/31,34.9,65.62,63.02
2020/4/1,38.02,65.62,63.02
2020/4/2,40.1,65.62,63.02
2020/4/3,46.88,65.62,63.02
2020/4/4,46.88,65.62,64.58
2020/4/5,46.88,65.62,64.58
2020/4/6,46.88,65.62,66.15
2020/4/7,53.13,65.62,66.15
2020/4/8,64.58,65.62,66.15
2020/4/9,64.58,65.62,66.15
2020/4/10,64.58,65.62,66.15
2020/4/11,64.58,65.62,66.15
2020/4/12,64.58,65.62,66.15
2020/4/13,64.58,65.62,66.15
2020/4/14,69.27,65.62,66.15
2020/4/15,69.27,65.62,66.15
2020/4/16,69.27,65.62,66.15
2020/4/17,69.27,65.62,66.15
2020/4/18,69.27,65.62,66.15
2020/4/19,69.27,65.62,66.15
2020/4/20,75.52,65.62,66.15
2020/4/21,75.52,65.62,66.15
2020/4/22,75.52,65.62,66.15
2020/4/23,75.52,65.62,66.15
2020/4/24,75.52,65.62,66.15
2020/4/25,75.52,65.62,66.15
