Date,Singapore,United Kingdom,United States
2020/1/1,5.56,0,0
2020/1/2,19.44,0,0
2020/1/3,19.44,0,0
2020/1/4,19.44,0,0
2020/1/5,19.44,0,0
2020/1/6,19.44,0,0
2020/1/7,19.44,0,0
2020/1/8,19.44,0,0
2020/1/9,19.44,0,0
2020/1/10,19.44,0,0
2020/1/11,19.44,0,0
2020/1/12,19.44,0,0
2020/1/13,19.44,0,0
2020/1/14,19.44,0,0
2020/1/15,19.44,0,0
2020/1/16,19.44,0,0
2020/1/17,19.44,0,0
2020/1/18,19.44,0,0
2020/1/19,19.44,0,0
2020/1/20,19.44,5.56,0
2020/1/21,19.44,5.56,0
2020/1/22,19.44,5.56,0
2020/1/23,25,5.56,0
2020/1/24,25,5.56,0
2020/1/25,25,5.56,0
2020/1/26,25,5.56,0
2020/1/27,25,5.56,0
2020/1/28,25,5.56,0
2020/1/29,25,5.56,0
2020/1/30,25,5.56,0
2020/1/31,25,8.33,0
2020/2/1,25,8.33,0
2020/2/2,25,11.11,5.56
2020/2/3,25,11.11,5.56
2020/2/4,25,11.11,5.56
2020/2/5,25,11.11,5.56
2020/2/6,25,11.11,5.56
2020/2/7,30.56,11.11,5.56
2020/2/8,30.56,11.11,5.56
2020/2/9,30.56,11.11,5.56
2020/2/10,30.56,11.11,5.56
2020/2/11,30.56,11.11,5.56
2020/2/12,30.56,11.11,5.56
2020/2/13,30.56,11.11,5.56
2020/2/14,30.56,11.11,5.56
2020/2/15,30.56,11.11,5.56
2020/2/16,30.56,11.11,5.56
2020/2/17,30.56,11.11,5.56
2020/2/18,30.56,11.11,5.56
2020/2/19,30.56,11.11,5.56
2020/2/20,30.56,11.11,5.56
2020/2/21,30.56,11.11,5.56
2020/2/22,30.56,11.11,5.56
2020/2/23,30.56,11.11,5.56
2020/2/24,30.56,11.11,5.56
2020/2/25,30.56,11.11,5.56
2020/2/26,30.56,11.11,5.56
2020/2/27,30.56,11.11,5.56
2020/2/28,30.56,11.11,5.56
2020/2/29,30.56,11.11,5.56
2020/3/1,30.56,11.11,8.33
2020/3/2,30.56,11.11,11.11
2020/3/3,30.56,11.11,11.11
2020/3/4,30.56,11.11,11.11
2020/3/5,30.56,11.11,20.37
2020/3/6,30.56,11.11,20.37
2020/3/7,30.56,11.11,20.37
2020/3/8,30.56,11.11,20.37
2020/3/9,30.56,11.11,20.37
2020/3/10,30.56,11.11,20.37
2020/3/11,30.56,11.11,21.76
2020/3/12,30.56,11.11,30.09
2020/3/13,36.11,12.96,30.09
2020/3/14,36.11,12.96,35.65
2020/3/15,36.11,12.96,41.2
2020/3/16,36.11,16.67,52.31
2020/3/17,36.11,22.22,55.09
2020/3/18,36.11,31.48,55.09
2020/3/19,36.11,31.48,67.13
2020/3/20,36.11,37.04,67.13
2020/3/21,36.11,47.22,72.69
2020/3/22,36.11,62.04,72.69
2020/3/23,36.11,78.24,72.69
2020/3/24,36.11,79.63,72.69
2020/3/25,36.11,79.63,72.69
2020/3/26,36.11,79.63,72.69
2020/3/27,36.11,79.63,72.69
2020/3/28,36.11,79.63,72.69
2020/3/29,36.11,79.63,72.69
2020/3/30,36.11,79.63,72.69
2020/3/31,36.11,79.63,72.69
2020/4/1,36.11,79.63,72.69
2020/4/2,36.11,79.63,72.69
2020/4/3,45.37,79.63,72.69
2020/4/4,45.37,79.63,72.69
2020/4/5,45.37,79.63,72.69
2020/4/6,45.37,79.63,72.69
2020/4/7,56.48,79.63,72.69
2020/4/8,76.85,79.63,72.69
2020/4/9,76.85,79.63,72.69
2020/4/10,76.85,79.63,72.69
2020/4/11,76.85,79.63,72.69
2020/4/12,76.85,79.63,72.69
2020/4/13,76.85,79.63,72.69
2020/4/14,76.85,79.63,72.69
2020/4/15,76.85,79.63,72.69
2020/4/16,76.85,79.63,72.69
2020/4/17,76.85,79.63,72.69
2020/4/18,76.85,79.63,72.69
2020/4/19,76.85,79.63,72.69
2020/4/20,76.85,79.63,72.69
2020/4/21,76.85,79.63,72.69
2020/4/22,76.85,79.63,72.69
2020/4/23,76.85,79.63,72.69
2020/4/24,76.85,79.63,72.69
2020/4/25,76.85,79.63,72.69
2020/4/26,76.85,79.63,72.69
2020/4/27,76.85,79.63,72.69
2020/4/28,76.85,79.63,72.69
2020/4/29,76.85,79.63,72.69
2020/4/30,76.85,79.63,72.69
2020/5/1,76.85,79.63,72.69
2020/5/2,76.85,79.63,72.69
2020/5/3,76.85,79.63,72.69
2020/5/4,76.85,79.63,72.69
2020/5/5,76.85,79.63,72.69
2020/5/6,76.85,79.63,72.69
2020/5/7,76.85,79.63,72.69
2020/5/8,76.85,79.63,72.69
2020/5/9,76.85,79.63,72.69
2020/5/10,76.85,79.63,72.69
2020/5/11,76.85,77.78,72.69
2020/5/12,73.15,77.78,72.69
2020/5/13,73.15,71.3,72.69
2020/5/14,73.15,71.3,72.69
2020/5/15,73.15,71.3,72.69
2020/5/16,73.15,71.3,72.69
2020/5/17,73.15,71.3,72.69
2020/5/18,73.15,71.3,72.69
2020/5/19,73.15,71.3,72.69
2020/5/20,73.15,71.3,72.69
2020/5/21,73.15,71.3,72.69
2020/5/22,73.15,71.3,72.69
2020/5/23,73.15,71.3,72.69
2020/5/24,73.15,71.3,72.69
2020/5/25,73.15,71.3,72.69
2020/5/26,73.15,71.3,72.69
2020/5/27,73.15,71.3,72.69
2020/5/28,73.15,71.3,72.69
2020/5/29,73.15,69.44,72.69
2020/5/30,73.15,69.44,72.69
2020/5/31,73.15,69.44,72.69
2020/6/1,73.15,67.59,72.69
2020/6/2,65.74,67.59,72.69
2020/6/3,65.74,67.59,72.69
2020/6/4,65.74,67.59,72.69
2020/6/5,65.74,67.59,72.69
2020/6/6,65.74,67.59,72.69
2020/6/7,65.74,67.59,72.69
2020/6/8,65.74,73.15,72.69
2020/6/9,65.74,73.15,72.69
2020/6/10,65.74,73.15,72.69
2020/6/11,65.74,73.15,72.69
2020/6/12,65.74,73.15,72.69
2020/6/13,65.74,73.15,72.69
2020/6/14,65.74,73.15,72.69
2020/6/15,65.74,71.3,68.98
2020/6/16,65.74,71.3,68.98
2020/6/17,65.74,71.3,68.98
2020/6/18,65.74,71.3,68.98
2020/6/19,50.93,71.3,68.98
2020/6/20,50.93,71.3,68.98
2020/6/21,50.93,71.3,68.98
2020/6/22,50.93,71.3,68.98
2020/6/23,50.93,71.3,68.98
2020/6/24,50.93,71.3,68.98
2020/6/25,50.93,71.3,68.98
2020/6/26,50.93,71.3,68.98
2020/6/27,50.93,71.3,68.98
2020/6/28,50.93,71.3,68.98
2020/6/29,50.93,71.3,68.98
2020/6/30,50.93,71.3,68.98
2020/7/1,50.93,71.3,68.98
2020/7/2,50.93,71.3,68.98
2020/7/3,50.93,71.3,68.98
2020/7/4,50.93,69.91,68.98
2020/7/5,50.93,69.91,68.98
2020/7/6,50.93,64.35,68.98
2020/7/7,50.93,64.35,68.98
2020/7/8,50.93,64.35,68.98
2020/7/9,50.93,64.35,68.98
2020/7/10,50.93,64.35,68.98
2020/7/11,50.93,64.35,68.98
2020/7/12,50.93,64.35,68.98
2020/7/13,50.93,64.35,68.98
2020/7/14,50.93,64.35,68.98
2020/7/15,50.93,64.35,68.98
2020/7/16,50.93,64.35,68.98
2020/7/17,50.93,64.35,68.98
2020/7/18,50.93,64.35,68.98
2020/7/19,50.93,64.35,68.98
2020/7/20,50.93,64.35,67.13
2020/7/21,50.93,64.35,67.13
2020/7/22,50.93,64.35,67.13
2020/7/23,50.93,64.35,67.13
2020/7/24,50.93,64.35,67.13
2020/7/25,50.93,64.35,67.13
2020/7/26,50.93,64.35,67.13
2020/7/27,50.93,64.35,67.13
2020/7/28,50.93,64.35,67.13
2020/7/29,50.93,64.35,67.13
2020/7/30,50.93,64.35,67.13
2020/7/31,50.93,64.35,67.13
2020/8/1,50.93,69.91,67.13
2020/8/2,50.93,69.91,67.13
2020/8/3,50.93,69.91,67.13
2020/8/4,50.93,69.91,67.13
2020/8/5,50.93,69.91,67.13
2020/8/6,50.93,69.91,67.13
2020/8/7,50.93,69.91,67.13
2020/8/8,50.93,69.91,67.13
2020/8/9,50.93,69.91,67.13
2020/8/10,50.93,69.91,67.13
2020/8/11,50.93,69.91,67.13
2020/8/12,50.93,69.91,67.13
2020/8/13,50.93,66.2,67.13
2020/8/14,50.93,66.2,67.13
2020/8/15,50.93,66.2,67.13
2020/8/16,50.93,66.2,67.13
2020/8/17,50.93,66.2,67.13
2020/8/18,50.93,66.2,67.13
2020/8/19,50.93,66.2,67.13
2020/8/20,50.93,66.2,67.13
2020/8/21,50.93,66.2,67.13
2020/8/22,50.93,66.2,67.13
2020/8/23,50.93,66.2,67.13
2020/8/24,50.93,66.2,67.13
2020/8/25,50.93,66.2,67.13
2020/8/26,50.93,66.2,67.13
2020/8/27,50.93,66.2,67.13
2020/8/28,50.93,66.2,67.13
2020/8/29,50.93,66.2,67.13
2020/8/30,50.93,66.2,67.13
2020/8/31,50.93,66.2,67.13
2020/9/1,50.93,64.35,67.13
2020/9/2,50.93,64.35,67.13
2020/9/3,50.93,64.35,67.13
2020/9/4,50.93,64.35,67.13
2020/9/5,50.93,64.35,67.13
2020/9/6,50.93,64.35,67.13
2020/9/7,50.93,64.35,67.13
2020/9/8,50.93,64.35,67.13
2020/9/9,50.93,64.35,67.13
2020/9/10,50.93,64.35,67.13
2020/9/11,50.93,64.35,67.13
2020/9/12,50.93,64.35,62.5
2020/9/13,50.93,64.35,62.5
2020/9/14,50.93,65.74,62.5
2020/9/15,50.93,65.74,62.5
2020/9/16,50.93,65.74,62.5
2020/9/17,50.93,65.74,62.5
2020/9/18,50.93,65.74,62.5
2020/9/19,50.93,65.74,62.5
2020/9/20,50.93,65.74,62.5
