Date,Singapore,United Kingdom,United States,active_case_sg,active_case_uk,active_case_us
2020/4/1,74,4974,32202,752,23428,222668
2020/4/2,49,4929,32345,779,26623,249044
2020/4/3,65,4981,32367,827,29911,279285
2020/4/4,75,4073,32386,886,32527,309102
2020/4/5,120,3650,29334,983,37218,330526
2020/4/6,66,5316,31933,1025,40087,358346
2020/4/7,106,5486,30576,1098,42333,388793
2020/4/8,142,5163,31119,1211,46261,417282
2020/4/9,287,4906,36072,1444,49078,447487
2020/4/10,198,4367,34277,1609,55560,478656
2020/4/11,191,3613,29188,1763,59450,503072
2020/4/12,233,3539,26934,1964,63545,524920
2020/4/13,386,4205,26991,2323,66724,546995
2020/4/14,334,4348,28414,2631,70427,571786
2020/4/15,447,5100,25962,3037,73746,591096
2020/4/16,728,5343,30263,3734,76888,610289
2020/4/17,623,4990,33004,4331,81013,639219
2020/4/18,942,4736,27933,5241,84897,658538
2020/4/19,596,3860,25872,5809,89690,678375
2020/4/20,1426,4866,29788,7202,93359,703438
2020/4/21,1111,4775,26218,8275,96077,717687
2020/4/22,1016,5505,29071,9233,99277,744746
2020/4/23,1037,5168,33253,10242,102700,771279
2020/4/24,897,4981,32339,11107,106564,781405
2020/4/25,618,3764,30378,11679,110173,805390
2020/4/26,931,3473,26573,12552,113803,828961
2020/4/27,799,4704,23795,13314,117377,829873
2020/4/28,528,4727,24688,13809,120086,850349
2020/4/29,690,5450,26431,14439,123002,871542
2020/4/30,528,4964,29157,14910,127797,893613
2020/5/1,932,4730,34902,15817,132693,916787
2020/5/2,447,3230,27404,16184,136449,930641
2020/5/3,657,2977,24329,16779,140080,948190
2020/5/4,573,3383,24238,17303,143404,959535
2020/5/5,632,3689,24448,17873,146710,968861
2020/5/6,788,3836,24380,18544,151622,977451
2020/5/7,741,3771,27619,19207,156204,998042
2020/5/8,768,3052,27134,19647,159816,1015687
2020/5/9,753,2150,24700,20144,163049,1022105
2020/5/10,876,2322,19014,20595,166354,1033284
2020/5/11,486,3589,19139,20541,169665,1044357
2020/5/12,849,3395,22887,20799,172177,1040159
2020/5/13,675,3300,20516,20516,174665,1042117
2020/5/14,752,2618,26736,20104,177403,1061283
2020/5/15,793,2521,24697,19622,180293,1076164
2020/5/16,465,2072,24285,18992,182984,1085524
2020/5/17,682,1826,18639,18676,186078,1097777
2020/5/18,305,2577,22214,18486,188378,1105691
2020/5/19,451,3058,20919,18407,190085,1117283
2020/5/20,570,2712,22795,18135,191144,1128998
2020/5/21,448,2554,25787,17672,193224,1141167
2020/5/22,614,2041,23659,17408,192292,1108311
2020/5/23,642,1508,21120,17163,191414,1115542
2020/5/24,548,1355,20306,16717,190404,1125105
2020/5/25,344,1613,18489,16199,186712,1126309
2020/5/26,383,1659,18984,15876,185233,1124914
2020/5/27,533,1809,19474,15577,184009,1127722
2020/5/28,373,1736,21723,14932,181007,1134101
2020/5/29,611,1508,24648,14206,179188,1144186
2020/5/30,506,1107,24213,13616,173217,1148048
2020/5/31,518,1070,19334,13162,170442,1099294
2020/6/1,408,1444,17005,12802,167216,1097275
2020/6/2,544,1470,21269,12637,164733,1081889
2020/6/3,569,1349,19780,12799,161980,1055021
2020/6/4,517,1238,21735,12994,159746,1048718
2020/6/5,261,1110,24912,12950,157177,1054356
2020/6/6,344,794,21474,12943,153687,1060313
2020/6/7,383,718,18268,12999,150246,1066179
2020/6/8,386,1094,16698,12903,146089,1067018
2020/6/9,218,1159,18008,12612,143389,1068188
2020/6/10,451,1186,21196,12408,140713,1062628
2020/6/11,422,1007,22402,12076,138052,1074094
2020/6/12,463,1054,25149,11785,135443,1071855
2020/6/13,347,888,25126,11363,132056,1079544
2020/6/14,407,807,19331,10989,129170,1082681
2020/6/15,214,1031,18583,10426,126357,1078100
2020/6/16,151,1083,23901,9780,123599,1087433
2020/6/17,247,999,27215,9252,121005,1091942
2020/6/18,257,1020,28401,8735,118763,1108438
2020/6/19,142,984,31685,8130,114781,1112546
2020/6/20,218,666,32534,7583,110529,1126873
2020/6/21,262,624,26067,7127,107394,1143478
2020/6/22,218,892,31156,6697,104388,1150516
2020/6/23,119,882,37266,6411,101615,1168432
2020/6/24,191,777,36212,6298,98363,1184703
2020/6/25,113,697,40260,6106,93985,1212247
2020/6/26,219,639,46319,6104,90208,1241612
2020/6/27,291,634,41698,6057,87014,1271044
