,Daily New Cases,,owid-covid-data.csv,,,,,Monthly Unempolyment Rate,,,,,Government Response Index,,,,,,,Containment Health Index,,,,,,,Economic Support Index,,,,,,Stringency Index,,
,https://github.com/owid/covid-19-data/tree/master/public/data,,,,,,Region,Singapore,United Kingdom,United States,,,https://github.com/OxCGRT/covid-policy-tracker/tree/master/data/timeseries,,,,,,,,,,,,,,,,,,,,,,
Date,Singapore,United Kingdom,United States,,,,01/2020,2.4,3.9,3.5,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,Singapore,United Kingdom,United States
2020/1/1,0,0,0,,,,02/2020,2.4,3.9,3.5,,2020/1/1,3.12,0,0,,,,2020/1/1,3.57,0,0,,,,2020/1/1,0,0,0,,,2020/1/1,5.56,0,0
2020/1/2,0,0,0,,,,03/2020,2.4,3.9,4.4,,2020/1/2,13.02,0,0,,,,2020/1/2,14.88,0,0,,,,2020/1/2,0,0,0,,,2020/1/2,19.44,0,0
2020/1/3,0,0,0,,,,04/2020,2.6,3.9,14.8,,2020/1/3,13.02,0,0,,,,2020/1/3,14.88,0,0,,,,2020/1/3,0,0,0,,,2020/1/3,19.44,0,0
2020/1/4,0,0,0,,,,05/2020,2.8,3.8,13.3,,2020/1/4,13.02,0,0,,,,2020/1/4,14.88,0,0,,,,2020/1/4,0,0,0,,,2020/1/4,19.44,0,0
2020/1/5,0,0,0,,,,06/2020,2.8,4,11.1,,2020/1/5,13.02,0,0,,,,2020/1/5,14.88,0,0,,,,2020/1/5,0,0,0,,,2020/1/5,19.44,0,0
2020/1/6,0,0,0,,,,07/2020,3.2,4.4,10.2,,2020/1/6,13.02,0,0,,,,2020/1/6,14.88,0,0,,,,2020/1/6,0,0,0,,,2020/1/6,19.44,0,0
2020/1/7,0,0,0,,,,08/2020,3.4,4.7,8.4,,2020/1/7,13.02,0,0,,,,2020/1/7,14.88,0,0,,,,2020/1/7,0,0,0,,,2020/1/7,19.44,0,0
2020/1/8,0,0,0,,,,09/2020,3.5,4.9,7.8,,2020/1/8,13.02,0,0,,,,2020/1/8,14.88,0,0,,,,2020/1/8,0,0,0,,,2020/1/8,19.44,0,0
