month,residential_status,non-seasonally_adjusted_unemployment_rate,seasonally_adjusted_unemployment_rate
1992-03,overall,1.5,1.8
1992-06,overall,2.4,1.8
1992-09,overall,1.6,2
1992-12,overall,1.7,1.6
1993-03,overall,1.2,1.5
1993-06,overall,2.4,1.8
1993-09,overall,1.5,1.8
1993-12,overall,1.7,1.6
1994-03,overall,1.4,1.7
1994-06,overall,2.2,1.6
1994-09,overall,1.4,1.8
1994-12,overall,1.9,1.8
1995-03,overall,1.5,1.7
1995-06,overall,2.5,1.9
1995-09,overall,1.2,1.6
1995-12,overall,1.8,1.7
1996-03,overall,1.5,1.8
1996-06,overall,2.4,1.8
1996-09,overall,1.1,1.5
1996-12,overall,1.6,1.5
1997-03,overall,1.2,1.4
1997-06,overall,1.9,1.4
1997-09,overall,1,1.4
1997-12,overall,1.6,1.5
1998-03,overall,1.4,1.7
1998-06,overall,2.5,1.9
1998-09,overall,2.5,3.3
1998-12,overall,3.6,3.4
1999-03,overall,2.6,3.1
1999-06,overall,3.6,2.7
1999-09,overall,2.4,3
1999-12,overall,2.6,2.4
2000-03,overall,2.3,2.8
2000-06,overall,4.4,3.4
2000-09,overall,1.6,2
2000-12,overall,2.4,2.2
2001-03,overall,1.6,1.9
2001-06,overall,2.7,2.2
2001-09,overall,2.4,2.9
2001-12,overall,3.9,3.7
2002-03,overall,3,3.6
2002-06,overall,4.2,3.4
2002-09,overall,3.1,3.6
2002-12,overall,3.9,3.7
2003-03,overall,3.2,3.7
2003-06,overall,4.5,3.6
2003-09,overall,4.1,4.8
2003-12,overall,4,3.9
2004-03,overall,3.2,3.7
2004-06,overall,4.4,3.6
2004-09,overall,2.6,3
2004-12,overall,3.2,3.2
2005-03,overall,2.8,3.2
2005-06,overall,4.2,3.3
2005-09,overall,2.9,3.3
2005-12,overall,2.6,2.7
2006-03,overall,2.2,2.4
2006-06,overall,3.4,2.7
2006-09,overall,2.4,2.8
2006-12,overall,2.6,2.8
2007-03,overall,2.5,2.7
2007-06,overall,2.9,2.3
2007-09,overall,1.5,1.7
2007-12,overall,1.6,1.7
2008-03,overall,1.8,1.9
2008-06,overall,2.8,2.2
2008-09,overall,1.9,2.3
2008-12,overall,2.4,2.7
2009-03,overall,3,3.2
2009-06,overall,4.1,3.2
2009-09,overall,2.9,3.3
2009-12,overall,2.1,2.3
2010-03,overall,2.1,2.2
2010-06,overall,2.8,2.2
2010-09,overall,1.8,2.1
2010-12,overall,2,2.2
2011-03,overall,1.8,1.9
2011-06,overall,2.7,2
2011-09,overall,1.8,2.1
2011-12,overall,1.8,2.1
2012-03,overall,1.9,2.1
2012-06,overall,2.6,1.9
2012-09,overall,1.7,1.9
2012-12,overall,1.6,1.9
2013-03,overall,1.8,1.9
2013-06,overall,2.6,2
2013-09,overall,1.6,1.8
2013-12,overall,1.6,1.9
2014-03,overall,1.9,2.1
2014-06,overall,2.6,1.9
2014-09,overall,1.7,1.9
2014-12,overall,1.6,1.9
2015-03,overall,1.7,1.8
2015-06,overall,2.6,2
2015-09,overall,1.7,1.9
2015-12,overall,1.6,1.9
2016-03,overall,1.8,1.9
2016-06,overall,2.8,2.1
2016-09,overall,1.8,2.1
2016-12,overall,1.9,2.2
2017-03,overall,2.1,2.3
2017-06,overall,2.9,2.2
2017-09,overall,1.9,2.1
2017-12,overall,1.8,2.1
2018-03,overall,1.9,2.1
2018-06,overall,2.7,2.1
2018-09,overall,1.9,2.1
2018-12,overall,1.9,2.2
2019-03,overall,2,2.2
2019-06,overall,3,2.2
2019-09,overall,2,2.2
2019-12,overall,2,2.3
2020-03,overall,2.2,2.5
2020-06,overall,3.8,2.8
2020-09,overall,3.2,3.5
2020-12,overall,2.8,3.3
2021-03,overall,2.6,2.9
2021-06,overall,3.5,2.7
