month,rate
2001 AUG,4.9
2001 SEP,5
2001 OCT,5.3
2001 NOV,5.5
2001 DEC,5.7
2002 JAN,5.7
2002 FEB,5.7
2002 MAR,5.7
2002 APR,5.9
2002 MAY,5.8
2002 JUN,5.8
2002 JUL,5.8
2002 AUG,5.7
2002 SEP,5.7
2002 OCT,5.7
2002 NOV,5.9
2002 DEC,6
2003 JAN,5.8
2003 FEB,5.9
2003 MAR,5.9
2003 APR,6
2003 MAY,6.1
2003 JUN,6.3
2003 JUL,6.2
2003 AUG,6.1
2003 SEP,6.1
2003 OCT,6
2003 NOV,5.8
2003 DEC,5.7
2004 JAN,5.7
2004 FEB,5.6
2004 MAR,5.8
2004 APR,5.6
2004 MAY,5.6
2004 JUN,5.6
2004 JUL,5.5
2004 AUG,5.4
2004 SEP,5.4
2004 OCT,5.5
2004 NOV,5.4
2004 DEC,5.4
2005 JAN,5.3
2005 FEB,5.4
2005 MAR,5.4
2005 APR,5.2
2005 MAY,5.1
2005 JUN,5
2005 JUL,5
2005 AUG,4.9
2005 SEP,5
2005 OCT,5
2005 NOV,5
2005 DEC,4.9
2006 JAN,4.7
2006 FEB,4.8
2006 MAR,4.7
2006 APR,4.7
2006 MAY,4.6
2006 JUN,4.6
2006 JUL,4.7
2006 AUG,4.7
2006 SEP,4.5
2006 OCT,4.4
2006 NOV,4.5
2006 DEC,4.4
2007 JAN,4.6
2007 FEB,4.5
2007 MAR,4.4
2007 APR,4.5
2007 MAY,4.4
2007 JUN,4.6
2007 JUL,4.7
2007 AUG,4.6
2007 SEP,4.7
2007 OCT,4.7
2007 NOV,4.7
2007 DEC,5
2008 JAN,5
2008 FEB,4.9
2008 MAR,5.1
2008 APR,5
2008 MAY,5.4
2008 JUN,5.6
2008 JUL,5.8
2008 AUG,6.1
2008 SEP,6.1
2008 OCT,6.5
2008 NOV,6.8
2008 DEC,7.3
2009 JAN,7.8
2009 FEB,8.3
2009 MAR,8.7
2009 APR,9
2009 MAY,9.4
2009 JUN,9.5
2009 JUL,9.5
2009 AUG,9.6
2009 SEP,9.8
2009 OCT,10
2009 NOV,9.9
2009 DEC,9.9
2010 JAN,9.8
2010 FEB,9.8
2010 MAR,9.9
2010 APR,9.9
2010 MAY,9.6
2010 JUN,9.4
2010 JUL,9.4
2010 AUG,9.5
2010 SEP,9.5
2010 OCT,9.4
2010 NOV,9.8
2010 DEC,9.3
2011 JAN,9.1
2011 FEB,9
2011 MAR,9
2011 APR,9.1
2011 MAY,9
2011 JUN,9.1
2011 JUL,9
2011 AUG,9
2011 SEP,9
2011 OCT,8.8
2011 NOV,8.6
2011 DEC,8.5
2012 JAN,8.3
2012 FEB,8.3
2012 MAR,8.2
2012 APR,8.2
2012 MAY,8.2
2012 JUN,8.2
2012 JUL,8.2
2012 AUG,8.1
2012 SEP,7.8
2012 OCT,7.8
2012 NOV,7.7
2012 DEC,7.9
2013 JAN,8
2013 FEB,7.7
2013 MAR,7.5
2013 APR,7.6
2013 MAY,7.5
2013 JUN,7.5
2013 JUL,7.3
2013 AUG,7.2
2013 SEP,7.2
2013 OCT,7.2
2013 NOV,6.9
2013 DEC,6.7
2014 JAN,6.6
2014 FEB,6.7
2014 MAR,6.7
2014 APR,6.2
2014 MAY,6.3
2014 JUN,6.1
2014 JUL,6.2
2014 AUG,6.1
2014 SEP,5.9
2014 OCT,5.7
2014 NOV,5.8
2014 DEC,5.6
2015 JAN,5.7
2015 FEB,5.5
2015 MAR,5.4
2015 APR,5.4
2015 MAY,5.6
2015 JUN,5.3
2015 JUL,5.2
2015 AUG,5.1
2015 SEP,5
2015 OCT,5
2015 NOV,5.1
2015 DEC,5
2016 JAN,4.8
2016 FEB,4.9
2016 MAR,5
2016 APR,5.1
2016 MAY,4.8
2016 JUN,4.9
2016 JUL,4.8
2016 AUG,4.9
2016 SEP,5
2016 OCT,4.9
2016 NOV,4.7
2016 DEC,4.7
2017 JAN,4.7
2017 FEB,4.6
2017 MAR,4.4
2017 APR,4.5
2017 MAY,4.4
2017 JUN,4.3
2017 JUL,4.3
2017 AUG,4.4
2017 SEP,4.2
2017 OCT,4.1
2017 NOV,4.2
2017 DEC,4.1
2018 JAN,4
2018 FEB,4.1
2018 MAR,4
2018 APR,4
2018 MAY,3.8
2018 JUN,4
2018 JUL,3.8
2018 AUG,3.8
2018 SEP,3.7
2018 OCT,3.8
2018 NOV,3.8
2018 DEC,3.9
2019 JAN,4
2019 FEB,3.8
2019 MAR,3.8
2019 APR,3.7
2019 MAY,3.7
2019 JUN,3.6
2019 JUL,3.6
2019 AUG,3.7
2019 SEP,3.5
2019 OCT,3.6
2019 NOV,3.6
2019 DEC,3.6
2020 JAN,3.5
2020 FEB,3.5
2020 MAR,4.4
2020 APR,14.8
2020 MAY,13.3
2020 JUN,11.1
2020 JUL,10.2
2020 AUG,8.4
2020 SEP,7.8
2020 OCT,6.9
2020 NOV,6.7
2020 DEC,6.7
2021 JAN,6.3
2021 FEB,6.2
2021 MAR,6
2021 APR,6.1
2021 MAY,5.8
2021 JUN,5.9
2021 JUL,5.4
2021 AUG,5.2
